EmployeeID,Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,Region,EducationLevel,EducationField,MonthlyIncome,PercentSalaryHike,StockOptionLevel,YearsAtCompany,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,BusinessTravel,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,StandardHours,EmployeeCount,Over18,Attrition
EMP1028,33,31-45,Male,Single,Research & Development,Manufacturing Director,East,4,Medical,8045,19,0,0,2,0,3,Travel_Rarely,7,Yes,1,3,2,4,3,3,80,1,Y,Yes
EMP1029,18,18-30,Male,Married,Research & Development,Research Scientist,North,3,Medical,7181,11,1,13,4,9,1,Travel_Rarely,13,No,1,2,3,3,1,3,80,1,Y,Yes
EMP1030,54,46+,Male,Single,Sales,Sales Representative,North,3,Life Sciences,8817,20,1,22,2,6,2,Travel_Rarely,6,Yes,3,3,3,1,2,3,80,1,Y,No
EMP1031,23,18-30,Male,Divorced,Research & Development,Laboratory Technician,West,3,Life Sciences,8110,23,2,22,0,2,5,Travel_Rarely,27,Yes,2,3,3,2,2,4,80,1,Y,No
EMP1032,19,18-30,Female,Single,Sales,Sales Executive,East,3,Other,4931,22,0,4,10,6,1,Non-Travel,1,No,4,3,3,2,3,3,80,1,Y,No
EMP1033,43,31-45,Male,Married,Sales,Manager,West,2,Medical,7409,14,1,7,1,5,0,Travel_Rarely,22,No,3,2,3,3,3,3,80,1,Y,No
EMP1034,56,46+,Female,Married,Human Resources,Manager,East,3,Marketing,9811,17,1,6,6,5,2,Travel_Rarely,2,No,2,4,2,4,2,3,80,1,Y,No
EMP1035,47,46+,Female,Single,Human Resources,Manager,East,1,Medical,8051,20,0,3,8,1,2,Travel_Rarely,1,No,3,3,3,3,3,3,80,1,Y,No
EMP1036,42,31-45,Female,Divorced,Research & Development,Laboratory Technician,East,4,Life Sciences,6984,16,1,4,1,4,2,Travel_Rarely,5,No,3,3,3,3,3,3,80,1,Y,No
EMP1037,42,31-45,Male,Married,Research & Development,Manufacturing Director,West,3,Life Sciences,7134,25,0,0,7,0,2,Non-Travel,8,Yes,4,2,4,2,1,4,80,1,Y,No
EMP1038,41,31-45,Male,Single,Sales,Sales Representative,East,3,Life Sciences,7481,19,1,11,4,6,5,Travel_Frequently,2,Yes,1,3,3,3,3,3,80,1,Y,No
EMP1039,44,31-45,Male,Single,Research & Development,Research Scientist,East,3,Technical Degree,8238,23,3,1,9,8,2,Travel_Frequently,7,No,4,3,3,4,3,3,80,1,Y,No
EMP1040,39,31-45,Male,Married,Research & Development,Laboratory Technician,North,3,Medical,8041,17,1,4,1,4,2,Travel_Rarely,14,Yes,3,3,3,4,3,3,80,1,Y,No
EMP1041,34,31-45,Male,Married,Sales,Sales Representative,South,3,Life Sciences,7975,25,1,4,10,3,2,Travel_Rarely,2,Yes,4,4,2,1,3,3,80,1,Y,No
EMP1042,36,31-45,Female,Married,Research & Development,Manufacturing Director,East,3,Other,8227,13,1,5,0,4,2,Travel_Frequently,7,No,1,3,1,4,3,3,80,1,Y,No
EMP1043,27,18-30,Male,Married,Sales,Sales Executive,South,4,Life Sciences,7277,17,1,11,6,2,0,Travel_Rarely,3,No,3,3,3,2,2,3,80,1,Y,Yes
EMP1044,32,31-45,Male,Married,Human Resources,Human Resources,North,4,Other,7764,20,2,8,2,3,3,Travel_Rarely,6,No,3,3,2,3,3,3,80,1,Y,No
EMP1045,18,18-30,Male,Married,Sales,Sales Representative,South,4,Other,7429,24,0,7,0,4,6,Travel_Rarely,9,No,3,3,3,1,4,4,80,1,Y,No
EMP1046,36,31-45,Male,Married,Research & Development,Healthcare Representative,North,2,Life Sciences,3812,15,1,5,0,1,2,Travel_Rarely,3,No,4,3,2,3,3,3,80,1,Y,No
EMP1047,27,18-30,Female,Single,Research & Development,Laboratory Technician,North,3,Life Sciences,6696,24,0,0,1,1,3,Travel_Rarely,29,No,3,2,4,1,3,4,80,1,Y,No
EMP1048,25,18-30,Male,Married,Research & Development,Manufacturing Director,South,5,Medical,6740,12,1,3,1,4,0,Travel_Frequently,7,No,4,3,2,3,3,3,80,1,Y,No
EMP1049,38,31-45,Male,Married,Research & Development,Healthcare Representative,West,3,Medical,8610,20,1,22,1,2,3,Non-Travel,15,No,2,3,3,3,4,3,80,1,Y,No
EMP1050,46,46+,Female,Single,Sales,Manager,South,2,Medical,7025,13,2,37,0,7,2,Travel_Rarely,11,No,4,3,3,2,3,3,80,1,Y,No
EMP1051,43,31-45,Male,Single,Human Resources,Human Resources,North,3,Other,7531,16,2,9,2,2,2,Travel_Rarely,17,Yes,1,2,3,4,4,4,80,1,Y,No
EMP1052,21,18-30,Male,Single,Research & Development,Research Scientist,North,1,Marketing,6902,23,1,1,2,0,2,Travel_Frequently,1,No,4,2,1,1,3,3,80,1,Y,Yes
EMP1053,26,18-30,Male,Married,Human Resources,Manager,East,2,Life Sciences,4956,16,1,0,2,4,1,Travel_Rarely,2,Yes,4,3,3,4,3,3,80,1,Y,Yes
EMP1054,43,31-45,Male,Married,Human Resources,Manager,South,5,Life Sciences,8675,17,1,3,8,4,3,Travel_Frequently,6,No,2,1,1,3,3,4,80,1,Y,No
EMP1055,27,18-30,Male,Married,Research & Development,Manufacturing Director,West,3,Marketing,9024,16,0,13,3,3,2,Travel_Rarely,17,No,3,3,1,4,3,3,80,1,Y,No
EMP1056,32,31-45,Male,Divorced,Human Resources,Manager,East,2,Life Sciences,7157,19,0,8,0,4,2,Travel_Rarely,1,Yes,3,3,2,3,3,3,80,1,Y,No
EMP1057,38,31-45,Female,Married,Sales,Sales Executive,West,5,Marketing,6237,24,0,15,2,3,4,Travel_Rarely,29,No,1,3,2,2,3,3,80,1,Y,No
EMP1058,25,18-30,Male,Married,Sales,Sales Executive,South,5,Life Sciences,6749,15,1,6,5,4,0,Travel_Frequently,1,No,3,3,4,2,4,3,80,1,Y,No
EMP1059,34,31-45,Female,Single,Sales,Sales Executive,East,3,Life Sciences,7446,25,0,0,0,0,3,Travel_Rarely,1,No,2,3,3,3,4,3,80,1,Y,No
EMP1060,23,18-30,Female,Single,Research & Development,Research Scientist,North,2,Life Sciences,7103,15,0,0,2,2,2,Travel_Frequently,1,No,4,3,3,4,2,3,80,1,Y,No
EMP1061,30,18-30,Male,Single,Research & Development,Laboratory Technician,West,4,Marketing,7497,18,0,0,2,1,2,Travel_Rarely,7,No,4,2,4,4,3,3,80,1,Y,Yes
EMP1062,36,31-45,Male,Married,Sales,Sales Executive,East,3,Life Sciences,6412,18,0,5,12,0,2,Travel_Frequently,22,No,4,3,2,1,4,3,80,1,Y,No
EMP1063,21,18-30,Male,Married,Research & Development,Research Scientist,South,3,Marketing,6761,11,0,1,2,1,2,Travel_Rarely,2,No,3,3,3,3,2,3,80,1,Y,No
EMP1064,41,31-45,Female,Married,Research & Development,Manufacturing Director,North,4,Medical,7375,13,0,9,5,1,0,Travel_Rarely,7,Yes,4,2,4,3,3,3,80,1,Y,No
EMP1065,33,31-45,Female,Married,Sales,Sales Executive,North,3,Marketing,8259,23,0,8,1,9,3,Travel_Rarely,1,No,2,3,4,3,2,3,80,1,Y,No
EMP1066,42,31-45,Female,Single,Research & Development,Manufacturing Director,East,2,Medical,10202,16,1,2,6,1,3,Travel_Rarely,8,No,3,2,1,4,2,3,80,1,Y,No
EMP1067,36,31-45,Male,Married,Sales,Sales Executive,North,3,Life Sciences,7653,16,0,1,1,1,3,Travel_Rarely,1,No,3,2,3,1,4,3,80,1,Y,No
EMP1068,50,46+,Female,Single,Research & Development,Research Scientist,East,2,Marketing,8321,11,2,0,2,6,4,Travel_Rarely,6,Yes,4,2,2,3,3,3,80,1,Y,No
EMP1069,35,31-45,Male,Married,Sales,Manager,North,4,Life Sciences,8629,12,1,9,2,2,4,Non-Travel,9,No,4,2,2,3,3,3,80,1,Y,Yes
EMP1070,31,31-45,Male,Married,Human Resources,Human Resources,East,3,Medical,7406,20,0,4,10,2,2,Travel_Rarely,7,No,3,3,3,2,2,3,80,1,Y,No
EMP1071,38,31-45,Male,Married,Research & Development,Laboratory Technician,West,1,Life Sciences,6909,17,0,2,0,2,3,Travel_Rarely,1,No,4,3,4,4,1,3,80,1,Y,No
EMP1072,38,31-45,Male,Single,Sales,Sales Representative,West,3,Marketing,7282,11,1,13,0,2,0,Travel_Rarely,1,No,2,2,1,1,4,3,80,1,Y,No
EMP1073,34,31-45,Male,Single,Sales,Sales Executive,West,3,Human Resources,6288,20,0,6,4,2,4,Travel_Frequently,10,No,4,3,1,3,3,3,80,1,Y,No
EMP1074,37,31-45,Female,Married,Research & Development,Healthcare Representative,North,3,Medical,8157,15,2,5,3,1,3,Travel_Rarely,14,Yes,3,1,1,3,1,3,80,1,Y,No
EMP1075,29,18-30,Female,Single,Research & Development,Laboratory Technician,North,3,Medical,7678,11,0,9,1,7,0,Travel_Rarely,21,Yes,2,3,2,2,4,3,80,1,Y,No
EMP1076,30,18-30,Female,Divorced,Research & Development,Healthcare Representative,East,3,Marketing,6463,16,1,11,1,1,2,Non-Travel,15,No,3,2,1,1,3,3,80,1,Y,No
EMP1077,22,18-30,Male,Married,Research & Development,Manufacturing Director,South,4,Life Sciences,5870,25,3,8,1,1,4,Non-Travel,29,No,3,2,4,4,3,3,80,1,Y,No
EMP1078,49,46+,Female,Divorced,Sales,Sales Executive,South,1,Human Resources,5828,17,1,4,2,3,1,Travel_Rarely,4,No,3,3,2,4,3,3,80,1,Y,No
EMP1079,24,18-30,Male,Divorced,Research & Development,Research Scientist,North,3,Life Sciences,7419,18,2,3,6,2,2,Travel_Rarely,3,No,3,2,2,4,1,3,80,1,Y,Yes
EMP1080,27,18-30,Male,Married,Sales,Manager,North,4,Other,6846,23,2,10,0,2,2,Non-Travel,1,No,3,3,3,4,3,4,80,1,Y,No
EMP1081,29,18-30,Male,Single,Research & Development,Manufacturing Director,North,3,Marketing,7219,22,2,5,9,5,2,Travel_Rarely,5,No,4,3,4,2,3,3,80,1,Y,No
EMP1082,45,31-45,Male,Married,Research & Development,Manufacturing Director,West,3,Marketing,9157,13,1,8,2,7,0,Travel_Rarely,9,Yes,4,1,4,2,3,3,80,1,Y,No
EMP1083,34,31-45,Male,Single,Research & Development,Healthcare Representative,North,5,Medical,7438,24,0,15,1,5,2,Travel_Rarely,15,Yes,2,3,3,1,3,3,80,1,Y,Yes
EMP1084,45,31-45,Male,Married,Sales,Sales Executive,East,2,Medical,6215,24,0,17,2,1,2,Travel_Frequently,2,No,4,3,1,4,3,3,80,1,Y,No
EMP1085,30,18-30,Male,Single,Research & Development,Manufacturing Director,North,1,Medical,6889,13,0,2,4,9,4,Travel_Rarely,6,No,3,3,4,4,3,4,80,1,Y,No
EMP1086,39,31-45,Female,Married,Research & Development,Healthcare Representative,East,3,Life Sciences,6045,21,3,1,0,2,2,Travel_Rarely,9,No,4,2,3,3,2,3,80,1,Y,No
EMP1087,28,18-30,Male,Single,Research & Development,Manufacturing Director,South,1,Medical,6129,11,0,2,5,1,2,Non-Travel,7,No,3,1,3,4,4,3,80,1,Y,No
EMP1088,58,46+,Female,Single,Research & Development,Laboratory Technician,West,5,Medical,13399,22,0,9,5,3,2,Travel_Frequently,2,No,2,4,4,3,4,3,80,1,Y,No
EMP1089,24,18-30,Female,Married,Human Resources,Manager,West,2,Human Resources,3901,13,1,3,0,4,1,Travel_Rarely,14,No,1,3,4,1,2,3,80,1,Y,No
EMP1090,40,31-45,Male,Divorced,Research & Development,Research Scientist,South,4,Medical,8084,15,0,1,0,0,6,Travel_Rarely,1,No,4,1,4,2,4,4,80,1,Y,No
EMP1091,39,31-45,Female,Single,Sales,Sales Representative,West,4,Life Sciences,5272,16,1,0,0,4,4,Non-Travel,21,No,3,3,2,1,3,3,80,1,Y,No
EMP1092,41,31-45,Male,Married,Research & Development,Laboratory Technician,West,2,Life Sciences,7599,13,2,2,6,6,2,Travel_Rarely,27,Yes,4,2,3,2,3,3,80,1,Y,No
EMP1093,35,31-45,Female,Married,Research & Development,Healthcare Representative,West,3,Medical,10159,14,1,1,1,1,2,Travel_Frequently,4,Yes,3,2,4,3,4,3,80,1,Y,Yes
EMP1094,35,31-45,Male,Single,Research & Development,Manufacturing Director,West,1,Life Sciences,7560,15,1,1,6,4,3,Travel_Rarely,4,No,2,2,3,4,2,3,80,1,Y,No
EMP1095,37,31-45,Female,Married,Research & Development,Healthcare Representative,North,3,Life Sciences,7223,15,1,8,3,2,2,Travel_Frequently,12,No,2,3,1,2,2,3,80,1,Y,No
EMP1096,35,31-45,Female,Married,Research & Development,Manufacturing Director,East,1,Technical Degree,9617,19,1,0,5,2,0,Travel_Frequently,5,Yes,4,1,4,4,3,4,80,1,Y,Yes
EMP1097,46,46+,Female,Single,Research & Development,Laboratory Technician,North,4,Medical,6989,18,0,0,3,1,2,Non-Travel,1,No,2,3,1,3,3,3,80,1,Y,No
EMP1098,59,46+,Female,Married,Research & Development,Laboratory Technician,North,5,Medical,11064,11,0,13,1,3,6,Travel_Rarely,22,No,4,3,4,4,3,4,80,1,Y,No
EMP1099,28,18-30,Male,Married,Sales,Sales Representative,West,2,Life Sciences,6217,12,0,13,9,2,1,Travel_Frequently,5,No,2,2,4,4,3,4,80,1,Y,Yes
EMP1100,21,18-30,Male,Single,Sales,Sales Executive,South,2,Marketing,5283,22,1,2,5,6,2,Non-Travel,2,No,4,3,3,4,2,3,80,1,Y,Yes
EMP1101,33,31-45,Male,Married,Sales,Sales Executive,East,4,Life Sciences,8308,25,1,0,2,8,0,Travel_Rarely,7,No,1,3,3,2,3,3,80,1,Y,No
EMP1102,62,46+,Male,Married,Research & Development,Research Scientist,West,2,Marketing,8141,15,0,8,4,8,1,Travel_Frequently,2,No,2,3,2,1,1,3,80,1,Y,No
EMP1103,28,18-30,Male,Married,Research & Development,Healthcare Representative,West,4,Life Sciences,8015,22,1,3,3,1,2,Travel_Rarely,2,Yes,3,3,4,3,3,3,80,1,Y,No
EMP1104,53,46+,Female,Married,Research & Development,Laboratory Technician,West,3,Technical Degree,9462,13,1,0,1,0,2,Travel_Rarely,7,Yes,3,3,3,1,2,3,80,1,Y,No
EMP1105,50,46+,Male,Single,Human Resources,Manager,North,3,Medical,6954,17,0,1,2,2,4,Travel_Frequently,4,No,2,1,3,3,3,3,80,1,Y,No
EMP1106,29,18-30,Female,Divorced,Sales,Sales Executive,North,4,Medical,9359,24,0,1,1,4,2,Travel_Rarely,7,No,4,3,3,2,4,3,80,1,Y,No
EMP1107,42,31-45,Female,Married,Research & Development,Healthcare Representative,South,3,Medical,8141,21,1,6,17,9,1,Travel_Rarely,29,No,2,2,2,3,2,3,80,1,Y,No
EMP1108,53,46+,Male,Married,Research & Development,Research Scientist,North,4,Medical,9473,16,1,15,3,5,2,Non-Travel,17,Yes,3,3,3,4,3,3,80,1,Y,No
EMP1109,30,18-30,Female,Single,Sales,Sales Representative,North,4,Life Sciences,5866,12,0,11,0,3,3,Travel_Rarely,1,No,2,1,4,2,4,3,80,1,Y,No
EMP1110,32,31-45,Male,Married,Sales,Manager,South,2,Marketing,6263,18,1,5,2,0,0,Travel_Frequently,1,Yes,2,2,4,4,4,3,80,1,Y,No
EMP1111,28,18-30,Female,Married,Sales,Sales Executive,West,1,Life Sciences,8541,15,0,3,0,6,2,Travel_Rarely,8,No,3,3,1,2,3,3,80,1,Y,Yes
EMP1112,24,18-30,Male,Divorced,Sales,Sales Representative,East,5,Human Resources,6716,16,2,6,1,1,3,Travel_Rarely,8,No,2,2,1,2,3,3,80,1,Y,No
EMP1113,29,18-30,Male,Married,Human Resources,Manager,South,4,Technical Degree,7342,18,0,4,2,0,1,Travel_Rarely,18,Yes,4,3,3,3,3,3,80,1,Y,Yes
EMP1114,24,18-30,Male,Married,Research & Development,Manufacturing Director,East,1,Life Sciences,7260,23,2,1,3,6,4,Travel_Frequently,8,No,2,2,3,4,3,3,80,1,Y,No
EMP1115,37,31-45,Male,Single,Research & Development,Laboratory Technician,North,4,Technical Degree,8142,16,1,7,14,3,2,Non-Travel,2,Yes,4,4,3,4,3,4,80,1,Y,No
EMP1116,28,18-30,Male,Divorced,Human Resources,Manager,North,3,Life Sciences,5748,20,1,14,16,1,1,Travel_Rarely,5,No,2,2,4,4,3,3,80,1,Y,No
EMP1117,39,31-45,Male,Married,Research & Development,Research Scientist,West,2,Life Sciences,8286,13,1,3,0,2,2,Travel_Frequently,14,Yes,2,3,2,2,3,3,80,1,Y,Yes
EMP1118,19,18-30,Male,Divorced,Sales,Sales Executive,East,4,Other,5930,23,0,12,3,0,1,Travel_Rarely,23,No,1,2,1,1,1,3,80,1,Y,No
EMP1119,37,31-45,Female,Married,Human Resources,Human Resources,West,2,Medical,6161,17,1,3,6,4,3,Travel_Frequently,2,No,4,3,2,2,2,3,80,1,Y,No
EMP1120,45,31-45,Male,Married,Research & Development,Manufacturing Director,North,5,Medical,10527,24,0,3,1,1,2,Travel_Frequently,6,No,3,2,4,2,4,3,80,1,Y,No
EMP1121,18,18-30,Male,Married,Research & Development,Laboratory Technician,West,2,Life Sciences,5956,14,0,0,5,6,1,Travel_Frequently,1,Yes,4,3,1,4,4,3,80,1,Y,No
EMP1122,38,31-45,Female,Married,Human Resources,Human Resources,East,3,Life Sciences,8495,23,1,8,8,2,4,Travel_Rarely,6,No,3,2,3,4,3,4,80,1,Y,No
EMP1123,49,46+,Female,Married,Research & Development,Manufacturing Director,East,2,Other,8409,16,0,11,4,3,3,Travel_Rarely,1,No,4,3,3,2,3,4,80,1,Y,No
EMP1124,23,18-30,Female,Single,Sales,Manager,East,3,Life Sciences,4559,16,0,7,1,0,2,Travel_Rarely,25,No,3,3,3,4,4,3,80,1,Y,Yes
EMP1125,49,46+,Male,Married,Sales,Manager,West,3,Life Sciences,4109,21,2,1,10,1,2,Travel_Rarely,9,Yes,1,3,1,3,2,3,80,1,Y,No
EMP1126,41,31-45,Male,Married,Research & Development,Laboratory Technician,East,2,Medical,5674,15,2,0,8,4,1,Non-Travel,17,No,2,3,3,1,3,3,80,1,Y,No
EMP1127,29,18-30,Male,Married,Research & Development,Research Scientist,East,3,Medical,5320,23,1,5,5,5,3,Travel_Frequently,29,No,3,1,2,3,2,3,80,1,Y,No
EMP1128,36,31-45,Male,Married,Research & Development,Manufacturing Director,West,3,Medical,8199,11,1,3,1,1,3,Travel_Rarely,1,Yes,3,2,4,3,3,3,80,1,Y,Yes
EMP1129,39,31-45,Female,Married,Sales,Sales Executive,East,1,Life Sciences,5454,24,3,3,6,3,1,Travel_Rarely,10,Yes,1,3,4,3,3,3,80,1,Y,No
EMP1130,37,31-45,Male,Married,Research & Development,Manufacturing Director,South,4,Life Sciences,5991,18,1,24,1,6,2,Non-Travel,19,No,4,1,3,2,4,4,80,1,Y,No
EMP1131,42,31-45,Female,Single,Research & Development,Healthcare Representative,East,3,Life Sciences,8202,23,2,9,1,2,2,Travel_Rarely,7,Yes,3,2,4,4,3,3,80,1,Y,No
EMP1132,25,18-30,Male,Married,Sales,Manager,South,3,Human Resources,5001,24,0,3,2,1,2,Travel_Frequently,9,No,3,2,1,3,4,3,80,1,Y,No
EMP1133,35,31-45,Female,Single,Sales,Sales Executive,North,3,Life Sciences,7655,20,1,0,17,2,3,Travel_Rarely,4,No,2,2,4,2,3,4,80,1,Y,No
EMP1134,22,18-30,Male,Single,Research & Development,Research Scientist,East,3,Marketing,7285,12,0,0,6,3,1,Non-Travel,10,No,3,3,3,2,3,4,80,1,Y,No
EMP1135,33,31-45,Female,Married,Human Resources,Human Resources,West,1,Marketing,6492,14,1,8,5,0,1,Travel_Rarely,4,No,1,3,3,4,3,3,80,1,Y,Yes
EMP1136,27,18-30,Female,Single,Research & Development,Laboratory Technician,West,3,Technical Degree,4090,23,1,12,2,2,0,Travel_Rarely,5,Yes,1,3,2,3,1,3,80,1,Y,No
EMP1137,29,18-30,Female,Married,Research & Development,Manufacturing Director,South,3,Human Resources,7374,22,0,8,1,3,2,Travel_Rarely,1,No,4,3,3,4,3,3,80,1,Y,No
EMP1138,49,46+,Male,Single,Research & Development,Laboratory Technician,East,4,Life Sciences,9174,13,1,3,7,8,2,Travel_Rarely,1,No,2,3,1,2,4,3,80,1,Y,No
EMP1139,47,46+,Male,Divorced,Research & Development,Research Scientist,North,4,Life Sciences,7694,16,2,0,3,2,4,Travel_Rarely,1,No,2,3,3,2,2,3,80,1,Y,No
EMP1140,40,31-45,Female,Married,Human Resources,Manager,West,3,Medical,4635,21,2,23,6,1,3,Travel_Rarely,1,No,2,3,2,3,1,3,80,1,Y,No
EMP1141,25,18-30,Male,Single,Human Resources,Human Resources,West,1,Life Sciences,5069,11,0,30,2,3,1,Travel_Frequently,5,No,3,3,4,2,2,3,80,1,Y,No
EMP1142,31,31-45,Male,Married,Sales,Sales Representative,East,2,Marketing,7656,19,1,5,5,1,3,Travel_Rarely,1,Yes,1,3,3,3,4,3,80,1,Y,Yes
EMP1143,49,46+,Male,Single,Research & Development,Manufacturing Director,West,2,Medical,5421,15,0,0,8,1,3,Travel_Frequently,1,No,2,3,4,2,3,3,80,1,Y,No
EMP1144,35,31-45,Male,Divorced,Sales,Sales Representative,East,2,Technical Degree,5700,15,1,5,1,3,2,Travel_Frequently,13,Yes,3,2,4,2,2,3,80,1,Y,No
EMP1145,54,46+,Male,Married,Sales,Sales Executive,East,3,Life Sciences,8777,14,0,15,0,7,0,Travel_Rarely,12,Yes,3,2,2,2,1,4,80,1,Y,No
EMP1146,37,31-45,Male,Married,Sales,Sales Representative,North,2,Human Resources,8209,14,0,7,1,6,1,Non-Travel,14,No,4,4,1,3,3,3,80,1,Y,No
EMP1147,38,31-45,Male,Married,Research & Development,Manufacturing Director,South,2,Life Sciences,7265,23,0,8,9,1,2,Travel_Frequently,22,No,2,4,3,4,3,3,80,1,Y,No
EMP1148,33,31-45,Male,Divorced,Research & Development,Manufacturing Director,East,1,Medical,9157,25,0,0,4,5,3,Travel_Frequently,1,No,2,3,4,4,4,3,80,1,Y,No
EMP1149,35,31-45,Male,Married,Sales,Manager,East,1,Medical,4145,23,1,0,5,1,2,Travel_Rarely,1,No,3,3,3,4,3,3,80,1,Y,No
EMP1150,32,31-45,Male,Single,Sales,Manager,South,1,Marketing,3639,11,0,0,1,1,4,Travel_Rarely,3,No,1,3,4,3,2,4,80,1,Y,No
